"logFC"	"AveExpr"	"t"	"P.Value"
"MXRA5"	-1.52826778374903	-0.386962417764706	-4.20184834921001	0.000103488817973589
"DKFZP566H0824"	-0.821935843880309	-0.113843432745098	-3.61934418300171	0.000666071611746574
"PRKCDBP"	-0.515288083851351	-0.351219318509804	-3.61582492110752	0.000673340227483178
"MMP1"	-1.70414585720463	0.199993842803922	-3.60771610438123	0.00069037782952046
"ADAMTS1"	-1.21952046449035	-0.330351734666667	-3.59294642673806	0.000722475062977766
"SLC20A2"	0.589033098565637	0.0959342210392157	3.54728111962196	0.00083097961130174
"SSR2"	0.347523607316602	0.148836431843137	3.37716564379647	0.0013883474078816
"GCS1"	0.461980652059846	0.139935894509804	3.3346982980422	0.00157493672467685
"NPY"	2.65743090754247	0.453834376607843	3.30995764581897	0.00169434144763046
"HBXIP"	-0.407399071710425	0.10564177227451	-3.30775453363902	0.00170537979964469
"ZNRF4"	0.292465146063706	-0.0879772282352941	3.20208087383868	0.00232230054747889
"CBX5"	-0.55898143130888	0.491709357490196	-3.18194473363022	0.00246153350767898
"PTK7"	0.43575901180695	0.144794403509804	3.16759899847119	0.00256548100183048
"AMN"	0.311284425474904	-0.120924549588235	3.16470286632079	0.0025869609429284
"DEDD"	0.278405335252896	0.0684566246666667	3.13408629909565	0.00282461983644991
"GAP43"	0.653863656243243	-0.0507053041764706	3.09380554517618	0.00316861541939251
"PDLIM1"	-0.573090936826255	0.0975984618431373	-3.09169586518376	0.00318767292523954
"HSPB1"	-0.601154674627413	-0.319363007588235	-3.09155653455976	0.003188935324535
"SLC27A6"	-0.937055531071429	-0.0401757240980392	-3.08698859751417	0.00323058341905794
"POLB"	0.679952662911197	0.270621921117647	3.08168183014476	0.00327960781280395
"TNNT1"	-1.05743746116988	0.327695702901961	-3.07973988844424	0.00329772122653953
"DDOST"	0.341284283295367	0.317338585607843	2.98551757070828	0.00429800192678182
"CHN1"	-0.685544862671815	0.265570626411765	-2.97285701652337	0.00445219164004746
"ABCA1"	-0.62906123327027	-0.382172123529412	-2.96793322128371	0.00451353803265638
"EPAS1"	-0.554492898430502	-0.386659342607843	-2.96128700668642	0.00459759410616381
"CIB2"	0.496738070343629	0.249989622803922	2.95441967643839	0.00468597685759589
"DEC1"	0.265529183194981	-0.0862071608235294	2.94654007596827	0.00478933580353477
"ATP2B2"	-0.473673347353282	0.0163846988627451	-2.92968794562705	0.00501755211433507
"OXCT1"	-0.763232518517375	0.0567159479411765	-2.92054315989719	0.005145587492803
"SLC9A8"	-0.284845025656371	-0.210241957627451	-2.90513743948592	0.00536817086506402
"SLC1A3"	-0.889441215694981	-0.419215597882353	-2.88843823187193	0.00561952307684835
"HPCAL1"	0.534973094247104	0.0417967575294118	2.88053726149098	0.00574221442297311
"CNDP2"	-0.456622417501931	-0.142804887078431	-2.87811331684407	0.00578035023949355
"DKK4"	0.826368654830116	0.118974877431373	2.8662201161093	0.00597089238790474
"TCF3"	0.398046458025097	0.216285629333333	2.86401596125104	0.00600683861616142
"DENND4C"	-0.567316506088803	-0.103481105901961	-2.86291486117156	0.00602487081723123
"PVRL3"	-0.965371301140927	0.452542603196078	-2.84950962391794	0.00624846192530456
"OSMR"	-0.588927527050193	-0.649680751352941	-2.845789984635	0.00631185147585154
"SMARCD3"	-0.609941891876448	-0.492752895980392	-2.83824044014727	0.00644234418051414
"VWA1"	-0.57494530172973	-0.323597932313725	-2.83732532669514	0.00645833033313739
"SIRT2"	-0.401684868200772	0.0138750740784314	-2.82023617383048	0.00676368615069126
"TRIM62"	0.277340431963321	-0.0558089132941176	2.81749303796947	0.00681392717822829
"MAGEA12"	0.859324870876448	0.0111634196470588	2.8124574706191	0.00690705338904875
"HSD17B2"	0.383290311279923	-0.234840311156863	2.81167736260137	0.00692158524041204
"ZIC1"	-1.94828519438417	0.509900251333333	-2.80524749318379	0.00704244127188353
"NFIB"	-0.799740547868726	0.0806361253137255	-2.79387085032437	0.00726106381198689
"GPATCH4"	0.329609532611969	0.081884883627451	2.77081292832667	0.00772350066122217
"CX3CL1"	-0.473836345584942	-0.271199938803922	-2.76985195369394	0.00774335037557827
"PTGS1"	-1.0713872445	-0.0714163234117647	-2.76619594061003	0.00781929883869094
"MUC1"	-0.735381137415058	-0.465234667352941	-2.76345651372677	0.00787665579603103
"ASGR1"	0.192575177882239	-0.0414845534901961	2.76078393168775	0.00793298655228673
"DES"	0.229148877758687	-0.169072080470588	2.75206577954676	0.00811933147031994
"RCAN3"	0.439421152177606	0.155103212431373	2.74106507460644	0.008360214967387
"SLC34A2"	-1.04484226666216	-0.826818266588235	-2.74068607065847	0.00836863006379856
"PRKAR1B"	0.378079892040541	-0.0812918375098039	2.74046339399301	0.00837357783011179
"C15ORF15"	0.39792614130888	0.156503159431373	2.73996696704372	0.00838461788416765
"TRADD"	-0.278303339785714	-0.308771042235294	-2.73551736171923	0.00848417245797889
"TULP1"	0.298472335694981	-0.0627545564901961	2.73047464493459	0.00859831090559515
"TBX21"	0.138710419123552	-0.0585381798823529	2.72704776496923	0.00867668001927323
"GNG3"	0.367742841837838	0.0665808505686274	2.72435361236018	0.00873875295147558
"AKAP8L"	-0.432204884104247	0.271145441686275	-2.72309892977513	0.0087677997706348
"ZNF250"	-0.449466651052123	-0.106579270411765	-2.7224397148228	0.00878309661602052
"PDZD2"	-0.541758442200772	-0.621094898254902	-2.71683675306534	0.00891410495853253
"SARS"	-0.376071961953668	-0.0151691797254902	-2.71360559777078	0.00899046965221831
"SNTG2"	0.731184988581081	-0.0180388022352941	2.69297182512695	0.00949246566682562
"ADAM20"	-0.3553582025	-0.0171543694901961	-2.69092103270129	0.00954373912339588
"C2ORF37"	0.368296761293436	0.162580862862745	2.67659324587633	0.00990910572437805
"P2RY6"	-0.422842515918919	-0.530440002215686	-2.67206955372173	0.0100270981066499
"CTAG2"	0.619559226478764	-0.0843040448431372	2.67084730400094	0.0100591984422718
"DNAH2"	0.638713576144788	0.427674947333333	2.66983811451632	0.0100857740362255
"ODAM"	1.68544781543822	0.407820652254902	2.66641265061476	0.010176459195738
"NLGN1"	-0.863587467671815	0.350957847823529	-2.66054068468217	0.0103336515587311
"GEMIN4"	0.554458119063707	0.254905705411765	2.6577964317201	0.0104078746577749
"AKR7A3"	0.256410495793436	0.0807202360588235	2.6576549630005	0.0104117141196381
"RNASE1"	-0.67704088880695	-0.308690283254902	-2.65356831794942	0.01052318686211
"TCF12"	0.483780546737451	0.276519207431373	2.65238096978567	0.0105557786910194
