"logFC"	"AveExpr"	"t"	"P.Value"
"C10ORF95"	-0.691416871830556	0.259801698896552	-4.53017540838149	2.89077579704049e-05
"EPYC"	1.09094715328056	-0.563308916034483	4.15848565208473	0.000104328339935769
"CX3CL1"	0.548227612655556	0.0829579148275862	3.67076527537225	0.000518947793252762
"XPNPEP1"	-0.450862904627778	-0.0142833920517241	-3.5680464699216	0.000718082746964509
"SCEL"	1.19678090775556	0.103513668775862	3.55324390398792	0.000752186749104861
"GATA3"	0.410849186008333	-0.22598750237931	3.5529622213152	0.00075285043836556
"EFEMP1"	1.02689072785	-0.283003345465517	3.55081294588427	0.000757932858836531
"ATP6V1B2"	0.472706987116667	-0.00771836503448276	3.53968086965415	0.000784783914708091
"ZNF3"	-0.429384520733333	0.170916342844828	-3.45052778298736	0.0010349248682813
"PDCD11"	-0.429897497772222	-0.00609900577586207	-3.43019549810087	0.00110173791891573
"ANGPT1"	0.524487213066667	-0.0788086181896552	3.37369063888783	0.00130954220844431
"ST7"	-0.383147688719444	0.14003667987931	-3.33842676116676	0.00145747490026765
"TARBP1"	-0.579654636469444	0.175774372810345	-3.33096069519964	0.0014907583028754
"LRDD"	-0.312453496072222	-0.0356990815172414	-3.29725073196814	0.00165017392912746
"GPRC5A"	0.960726699052778	0.238281003	3.25991315097243	0.00184546236839726
"PELO"	0.436360804677778	0.194435418293103	3.23727159995466	0.00197428050254108
"S100A4"	1.02696189378889	0.113951191965517	3.23272776933525	0.00200113186817999
"LY6D"	0.727660481144444	-0.156286302637931	3.2297459015174	0.002018939277539
"GAS1"	0.754689349733333	-0.101947225775862	3.21664396405	0.0020989637236292
"ZNF692"	-0.411540578025	0.0273806347931034	-3.1979020813284	0.00221863332940367
"TRIM29"	0.842576222847222	0.597695002982759	3.1867463396709	0.00229287741672597
"UBE3A"	0.396525163669445	0.120442803827586	3.18226035949578	0.00232338532492971
"GNG12"	0.471953180422222	0.257049571206897	3.17408849100617	0.00237994166067734
"TSSC4"	-0.366705619847222	-0.0350990687413793	-3.15521695805059	0.00251552380463488
"EMP1"	0.713852934458334	0.193055034741379	3.11649286108579	0.00281672277689559
"FGF7"	0.542222048858334	-0.343872361758621	3.11473690959402	0.00283115045370261
"RASSF8"	0.526443341975	-0.200244153275862	3.10723258952015	0.00289359230424968
"RNF123"	-0.34428801635	0.0408918282758621	-3.10395734927655	0.00292124686058749
"SLC25A28"	-0.344673676327778	-0.0406412756034483	-3.09241037801941	0.00302072901846869
"HIRA"	-0.404067964369445	0.00635949568965517	-3.08717662959286	0.00306685569533115
"LEPROT"	0.505520910222222	0.172852434724138	3.06152509605611	0.00330260643886163
"TRGV7"	-0.205079442669444	-0.111934494051724	-3.05938010412544	0.00332306817938307
"NMD3"	0.454522791072222	0.31477574637931	3.04963949252468	0.00341748477113147
